;Tarih;TP_BEK_S01_B_D
0;2013-1;0.6
1;2013-2;0.5
2;2013-3;0.5
3;2013-4;0.5
4;2013-5;-0.5
5;2013-6;0.1
6;2013-7;0.5
7;2013-8;0.8
8;2013-9;1.0
9;2013-10;0.7
10;2013-11;0.5
11;2013-12;0.7
12;2014-1;0.5
13;2014-2;0.6
14;2014-3;0.6
15;2014-4;0.6
16;2014-5;0.3
17;2014-6;0.2
18;2014-7;0.2
19;2014-8;0.4
20;2014-9;1.0
21;2014-10;0.5
22;2014-11;0.5
23;2014-12;0.5
24;2015-1;0.5
25;2015-2;0.5
26;2015-3;0.7
27;2015-4;0.4
28;2015-5;0.5
29;2015-6;0.2
30;2015-7;0.2
31;2015-8;0.5
32;2015-9;1.0
33;2015-10;0.6
34;2015-11;0.1
35;2015-12;0.8
36;2016-1;0.5
37;2016-2;0.7
38;2016-3;1.0
39;2016-4;0.6
40;2016-5;0.4
41;2016-6;0.3
42;2016-7;0.5
43;2016-8;0.7
44;2016-9;1.0
45;2016-10;0.8
46;2016-11;0.3
47;2016-12;1.0
48;2017-1;0.7
49;2017-2;0.8
50;2017-3;1.0
51;2017-4;0.5
52;2017-5;0.1
53;2017-6;0.2
54;2017-7;0.2
55;2017-8;0.5
56;2017-9;1.6
57;2017-10;0.5
58;2017-11;0.5
59;2017-12;1.0
60;2018-1;0.6
61;2018-2;0.8
62;2018-3;1.0
63;2018-4;0.8
64;2018-5;0.3
65;2018-6;0.5
66;2018-7;0.5
67;2018-8;1.0
68;2018-9;2.0
69;2018-10;1.5
70;2018-11;1.0
71;2018-12;1.5
72;2019-1;1.0
73;2019-2;1.0
74;2019-3;1.0
75;2019-4;1.0
76;2019-5;1.0
77;2019-6;1.0
78;2019-7;1.0
79;2019-8;1.5
80;2019-9;1.5
81;2019-10;1.0
82;2019-11;1.0
83;2019-12;1.0
84;2020-1;0.5
85;2020-2;1.0
86;2020-3;1.0
87;2020-4;0.5
88;2020-5;0.0
89;2020-6;0.4
90;2020-7;0.5
91;2020-8;1.0
92;2020-9;1.0
93;2020-10;1.0
94;2020-11;0.5
95;2020-12;1.0
96;2021-1;1.0
97;2021-2;0.7
98;2021-3;1.0
99;2021-4;1.0
100;2021-5;1.0
101;2021-6;1.0
102;2021-7;1.0
103;2021-8;1.0
104;2021-9;1.5
105;2021-10;1.0
106;2021-11;1.5
107;2021-12;2.0
108;2022-1;3.0
109;2022-2;2.5
110;2022-3;3.0
111;2022-4;2.5
112;2022-5;4.0
113;2022-6;2.5
114;2022-7;2.5
115;2022-8;3.0
116;2022-9;3.0
117;2022-10;3.0
118;2022-11;3.5
119;2022-12;3.0
120;2023-1;1.9
121;2023-2;2.5
122;2023-3;2.5
123;2023-4;2.5
124;2023-5;2.5
125;2023-6;2.5
126;2023-7;4.0
127;2023-8;4.0
128;2023-9;4.5
129;2023-10;4.0
130;2023-11;3.5
131;2023-12;5.0
132;2024-1;3.5
