;Tarih;TP_BEK_S01_F_A
0;2013-1;5.79
1;2013-2;5.81
2;2013-3;5.93
3;2013-4;5.88
4;2013-5;5.8
5;2013-6;5.87
6;2013-7;6.13
7;2013-8;6.23
8;2013-9;6.3
9;2013-10;6.26
10;2013-11;6.36
11;2013-12;6.37
12;2014-1;6.55
13;2014-2;6.63
14;2014-3;6.69
15;2014-4;6.58
16;2014-5;6.7
17;2014-6;6.62
18;2014-7;6.73
19;2014-8;6.8
20;2014-9;6.8
21;2014-10;6.79
22;2014-11;6.87
23;2014-12;6.72
24;2015-1;6.38
25;2015-2;6.42
26;2015-3;6.51
27;2015-4;6.55
28;2015-5;6.57
29;2015-6;6.66
30;2015-7;6.69
31;2015-8;6.72
32;2015-9;6.91
33;2015-10;6.88
34;2015-11;6.84
35;2015-12;6.88
36;2016-1;7.12
37;2016-2;7.29
38;2016-3;7.23
39;2016-4;7.13
40;2016-5;7.14
41;2016-6;7.01
42;2016-7;7.03
43;2016-8;7.16
44;2016-9;7.11
45;2016-10;7.01
46;2016-11;7.27
47;2016-12;7.38
48;2017-1;7.7
49;2017-2;7.59
50;2017-3;7.7
51;2017-4;7.87
52;2017-5;7.98
53;2017-6;7.88
54;2017-7;7.93
55;2017-8;7.96
56;2017-9;8.02
57;2017-10;8.03
58;2017-11;8.34
59;2017-12;8.63
60;2018-1;8.29
61;2018-2;8.25
62;2018-3;8.31
63;2018-4;8.65
64;2018-5;8.97
65;2018-6;9.28
66;2018-7;9.83
67;2018-8;10.67
68;2018-9;11.67
69;2018-10;12.7
70;2018-11;12.97
71;2018-12;12.43
72;2019-1;12.0
73;2019-2;12.1
74;2019-3;11.8
75;2019-4;12.06
76;2019-5;12.34
77;2019-6;11.46
78;2019-7;11.0
79;2019-8;10.27
80;2019-9;10.17
81;2019-10;9.76
82;2019-11;9.16
83;2019-12;8.9
84;2020-1;8.62
85;2020-2;8.56
86;2020-3;8.51
87;2020-4;8.62
88;2020-5;8.4
89;2020-6;8.38
90;2020-7;8.38
91;2020-8;8.71
92;2020-9;8.99
93;2020-10;9.17
94;2020-11;9.22
95;2020-12;9.3
96;2021-1;9.14
97;2021-2;8.96
98;2021-3;9.14
99;2021-4;9.55
100;2021-5;9.84
101;2021-6;9.94
102;2021-7;10.34
103;2021-8;10.52
104;2021-9;10.71
105;2021-10;11.27
106;2021-11;11.76
107;2021-12;14.41
108;2022-1;15.54
109;2022-2;15.42
110;2022-3;17.03
111;2022-4;17.68
112;2022-5;19.54
113;2022-6;22.04
114;2022-7;24.27
115;2022-8;24.35
116;2022-9;21.22
117;2022-10;21.17
118;2022-11;21.22
119;2022-12;20.56
120;2023-1;17.18
121;2023-2;18.11
122;2023-3;17.91
123;2023-4;17.54
124;2023-5;17.74
125;2023-6;18.12
126;2023-7;19.04
127;2023-8;22.54
128;2023-9;24.61
129;2023-10;25.82
130;2023-11;25.09
131;2023-12;24.82
132;2024-1;23.44
