;Tarih;TP_BEK_S07_B_X
0;2013-1;75.0
1;2013-2;79.0
2;2013-3;89.0
3;2013-4;80.0
4;2013-5;81.0
5;2013-6;71.0
6;2013-7;70.0
7;2013-8;65.0
8;2013-9;75.0
9;2013-10;74.0
10;2013-11;79.0
11;2013-12;71.0
12;2014-1;70.0
13;2014-2;78.0
14;2014-3;75.0
15;2014-4;74.0
16;2014-5;73.0
17;2014-6;68.0
18;2014-7;64.0
19;2014-8;64.0
20;2014-9;74.0
21;2014-10;70.0
22;2014-11;69.0
23;2014-12;65.0
24;2015-1;77.0
25;2015-2;74.0
26;2015-3;63.0
27;2015-4;67.0
28;2015-5;68.0
29;2015-6;62.0
30;2015-7;62.0
31;2015-8;59.0
32;2015-9;66.0
33;2015-10;64.0
34;2015-11;69.0
35;2015-12;72.0
36;2016-1;60.0
37;2016-2;64.0
38;2016-3;55.0
39;2016-4;63.0
40;2016-5;58.0
41;2016-6;60.0
42;2016-7;62.0
43;2016-8;56.0
44;2016-9;60.0
45;2016-10;61.0
46;2016-11;65.0
47;2016-12;62.0
48;2017-1;61.0
49;2017-2;58.0
50;2017-3;64.0
51;2017-4;60.0
52;2017-5;58.0
53;2017-6;71.0
54;2017-7;64.0
55;2017-8;56.0
56;2017-9;64.0
57;2017-10;57.0
58;2017-11;69.0
59;2017-12;64.0
60;2018-1;62.0
61;2018-2;69.0
62;2018-3;68.0
63;2018-4;66.0
64;2018-5;60.0
65;2018-6;59.0
66;2018-7;56.0
67;2018-8;53.0
68;2018-9;60.0
69;2018-10;61.0
70;2018-11;62.0
71;2018-12;63.0
72;2019-1;68.0
73;2019-2;63.0
74;2019-3;63.0
75;2019-4;60.0
76;2019-5;57.0
77;2019-6;60.0
78;2019-7;57.0
79;2019-8;56.0
80;2019-9;56.0
81;2019-10;63.0
82;2019-11;58.0
83;2019-12;63.0
84;2020-1;53.0
85;2020-2;58.0
86;2020-3;54.0
87;2020-4;50.0
88;2020-5;50.0
89;2020-6;54.0
90;2020-7;50.0
91;2020-8;51.0
92;2020-9;48.0
93;2020-10;53.0
94;2020-11;51.0
95;2020-12;58.0
96;2021-1;56.0
97;2021-2;53.0
98;2021-3;56.0
99;2021-4;51.0
100;2021-5;52.0
101;2021-6;49.0
102;2021-7;50.0
103;2021-8;46.0
104;2021-9;49.0
105;2021-10;46.0
106;2021-11;42.0
107;2021-12;42.0
108;2022-1;41.0
109;2022-2;43.0
110;2022-3;42.0
111;2022-4;43.0
112;2022-5;38.0
113;2022-6;42.0
114;2022-7;40.0
115;2022-8;33.0
116;2022-9;35.0
117;2022-10;37.0
118;2022-11;37.0
119;2022-12;40.0
120;2023-1;33.0
121;2023-2;29.0
122;2023-3;36.0
123;2023-4;34.0
124;2023-5;33.0
125;2023-6;31.0
126;2023-7;35.0
127;2023-8;34.0
128;2023-9;36.0
129;2023-10;66.0
130;2023-11;65.0
131;2023-12;69.0
132;2024-1;61.0
